"","Status","Score","Match_type","Side","Match_addr","ARC_Street","File_","Directory","Full_Link","Quick_Link","Date_","Location","Back_of_Sh","Job_Catego","Hyperlink","Leak_Numbe","Leak_Num_Y","Leak_Class","POINT_X","POINT_Y","lon","lat"
"18","M",92,"A","R","356 NICHOLS AVE","356 Nicholas Ave","Page0025.tif","S:\WORKSHEETS\01-12-2011_thru_01-23-2011","S:\WORKSHEETS\01-12-2011_thru_01-23-2011\Page0025.tif","Page0025.tif",2011-01-20,"356 Nicholas Ave",NA,"Main Break/Leak","\\water-server3\waterdept\WORKSHEETS\01-12-2011_thru_01-23-2011\Page0025.tif","020","2011",0,-8471798.1541,5321533.2829,-76.1034576580358,43.0627852023022
"19","M",100,"A","L","221 PUTNAM ST","221 Putnam St","Page0027.tif","S:\WORKSHEETS\01-12-2011_thru_01-23-2011","S:\WORKSHEETS\01-12-2011_thru_01-23-2011\Page0027.tif","Page0027.tif",2011-01-14,"221 Putnam St",NA,"Dig Curb Box","\\water-server3\waterdept\WORKSHEETS\01-12-2011_thru_01-23-2011\Page0027.tif",NA,NA,0,-8479243.1139,5317394.6479,-76.1703368698157,43.0356167249607
"20","M",100,"A","L","323 S SALINA ST","323 South Salina St","Page0005.tif","S:\WORKSHEETS\01-24-2011_thru_01-30-2011","S:\WORKSHEETS\01-24-2011_thru_01-30-2011\Page0005.tif","Page0005.tif",2011-01-24,"323 South Salina St",NA,"Install New Service","\\water-server3\waterdept\WORKSHEETS\01-24-2011_thru_01-30-2011\Page0005.tif",NA,NA,0,-8477219.3066,5319327.3462,-76.1521566995187,43.0483056111258
"21","M",100,"A","L","323 S SALINA ST","323 South Salina St","Page0009.tif","S:\WORKSHEETS\01-24-2011_thru_01-30-2011","S:\WORKSHEETS\01-24-2011_thru_01-30-2011\Page0009.tif","Page0009.tif",2011-01-25,"323 South Salina St",NA,"Install New Service","\\water-server3\waterdept\WORKSHEETS\01-24-2011_thru_01-30-2011\Page0009.tif",NA,NA,0,-8477219.3066,5319327.3462,-76.1521566995187,43.0483056111258
"22","M",100,"A","R","634 RICHMOND AVE","634 Richmond Ave","Page0013.tif","S:\WORKSHEETS\01-24-2011_thru_01-30-2011","S:\WORKSHEETS\01-24-2011_thru_01-30-2011\Page0013.tif","Page0013.tif",2011-01-26,"634 Richmond Ave",NA,"Main Break/Leak","\\water-server3\waterdept\WORKSHEETS\01-24-2011_thru_01-30-2011\Page0013.tif","027","2011",0,-8479963.1885,5319637.784,-76.1768054100046,43.0503435066048
"23","M",100,"A","L","1559 LEMOYNE AVE","1559 LeMoyne Ave","Page0015.tif","S:\WORKSHEETS\01-24-2011_thru_01-30-2011","S:\WORKSHEETS\01-24-2011_thru_01-30-2011\Page0015.tif","Page0015.tif",2011-01-26,"1559 LeMoyne Ave",NA,"Main Break/Leak","\\water-server3\waterdept\WORKSHEETS\01-24-2011_thru_01-30-2011\Page0015.tif","030","2011",0,-8476881.2697,5324628.87,-76.14912006238,43.083098621823
"24","M",100,"A","L","313 SEELEY RD","313 Seeley Rd","Page0019.tif","S:\WORKSHEETS\01-24-2011_thru_01-30-2011","S:\WORKSHEETS\01-24-2011_thru_01-30-2011\Page0019.tif","Page0019.tif",2011-01-26,"313 Seeley Rd",NA,"Main Break/Leak","\\water-server3\waterdept\WORKSHEETS\01-24-2011_thru_01-30-2011\Page0019.tif","026","2011",0,-8471838.1042,5319769.1948,-76.1038165358901,43.0512061436391
"25","M",100,"A","R","1428 N SALINA ST","1428 North Salina St","Page0023.tif","S:\WORKSHEETS\01-24-2011_thru_01-30-2011","S:\WORKSHEETS\01-24-2011_thru_01-30-2011\Page0023.tif","Page0023.tif",2011-01-26,"1428 North Salina St","S:\WORKSHEETS\01-24-2011_thru_01-30-2011\Page0024.tif","Dig Curb Box","\\water-server3\waterdept\WORKSHEETS\01-24-2011_thru_01-30-2011\Page0023.tif",NA,NA,0,-8478204.8297,5322363.1481,-76.1610098041545,43.0682314857346
"26","M",100,"A","L","543 CUMBERLAND AVE","543 Cumberland Ave","Page0025.tif","S:\WORKSHEETS\01-24-2011_thru_01-30-2011","S:\WORKSHEETS\01-24-2011_thru_01-30-2011\Page0025.tif","Page0025.tif",2011-01-27,"543 Cumberland Ave",NA,"Main Break/Leak","\\water-server3\waterdept\WORKSHEETS\01-24-2011_thru_01-30-2011\Page0025.tif","024","2011",0,-8472821.6306,5317477.3888,-76.1126517038646,43.0361600036413
"27","M",100,"A",NA,"LOCKWOOD RD & KIMBER RD","Lockwood Rd & Kimber Rd","Page0027.tif","S:\WORKSHEETS\01-24-2011_thru_01-30-2011","S:\WORKSHEETS\01-24-2011_thru_01-30-2011\Page0027.tif","Page0027.tif",2011-01-27,"Lockwood Rd & Kimber Rd","S:\WORKSHEETS\01-24-2011_thru_01-30-2011\Page0028.tif","Main Break/Leak","\\water-server3\waterdept\WORKSHEETS\01-24-2011_thru_01-30-2011\Page0027.tif","025","2011",0,-8470683.6998,5317792.3266,-76.0934463447244,43.038227848591
"28","M",100,"A","L","543 CUMBERLAND AVE","543 Cumberland Ave","Page0031.tif","S:\WORKSHEETS\01-24-2011_thru_01-30-2011","S:\WORKSHEETS\01-24-2011_thru_01-30-2011\Page0031.tif","Page0031.tif",2011-01-28,"543 Cumberland Ave","S:\WORKSHEETS\01-24-2011_thru_01-30-2011\Page0032.tif","Main Break/Leak","\\water-server3\waterdept\WORKSHEETS\01-24-2011_thru_01-30-2011\Page0031.tif","024","2011",0,-8472821.6306,5317477.3888,-76.1126517038646,43.0361600036413
"29","T",100,"A",NA,"CADILLAC ST & WADSWORTH ST","Cadillac St & Wadsworth St","Page0035.tif","S:\WORKSHEETS\01-24-2011_thru_01-30-2011","S:\WORKSHEETS\01-24-2011_thru_01-30-2011\Page0035.tif","Page0035.tif",2011-01-28,"Cadillac St & Wadsworth St","S:\WORKSHEETS\01-24-2011_thru_01-30-2011\Page0036.tif","Valve Repair","\\water-server3\waterdept\WORKSHEETS\01-24-2011_thru_01-30-2011\Page0035.tif",NA,NA,0,-8476535.2152,5324521.847,-76.1460114019152,43.0823964431446
"30","M",100,"A","R","124 HENDERSON ST","124 Henderson St","Page0039.tif","S:\WORKSHEETS\01-24-2011_thru_01-30-2011","S:\WORKSHEETS\01-24-2011_thru_01-30-2011\Page0039.tif","Page0039.tif",2011-01-30,"124 Henderson St","S:\WORKSHEETS\01-24-2011_thru_01-30-2011\Page0040.tif","Dig Curb Box","\\water-server3\waterdept\WORKSHEETS\01-24-2011_thru_01-30-2011\Page0039.tif",NA,NA,0,-8475208.921,5320349.3004,-76.1340970984042,43.0550140614057
"31","M",100,"A","L","1225 W FAYETTE ST","1225 West Fayette St","Page0041.tif","S:\WORKSHEETS\01-24-2011_thru_01-30-2011","S:\WORKSHEETS\01-24-2011_thru_01-30-2011\Page0041.tif","Page0041.tif",2011-01-30,"1225 West Fayette St","S:\WORKSHEETS\01-24-2011_thru_01-30-2011\Page0042.tif","Main Break/Leak","\\water-server3\waterdept\WORKSHEETS\01-24-2011_thru_01-30-2011\Page0041.tif","032","2011",0,-8479865.878,5319107.7971,-76.1759312549101,43.0468643214129
"32","M",100,"A",NA,"HIGHRIDGE PL & HIGHRIDGE DR","Highridge Pl & Highridge Dr","Page0003.tif","S:\WORKSHEETS\01-31-2011_thru_02-06-2011","S:\WORKSHEETS\01-31-2011_thru_02-06-2011\Page0003.tif","Page0003.tif",2011-01-31,"Highridge Pl & Highridge Dr",NA,"Main Break/Leak","\\water-server3\waterdept\WORKSHEETS\01-31-2011_thru_02-06-2011\Page0003.tif","035","2011",0,-8482510.6744,5316056.823,-76.1996898652051,43.0268318678504
"33","M",86,"M",NA,"S SALINA ST & E CASTLE ST","SOUTH SALINA ST & CASTLE ST","Page0005.tif","S:\WORKSHEETS\01-31-2011_thru_02-06-2011","S:\WORKSHEETS\01-31-2011_thru_02-06-2011\Page0005.tif","Page0005.tif",2011-01-31,"South Salina St & Caslte St","S:\WORKSHEETS\01-31-2011_thru_02-06-2011\Page0006.tif","Hydrant Replacement/Installation/Relocation","\\water-server3\waterdept\WORKSHEETS\01-31-2011_thru_02-06-2011\Page0005.tif","021","2011",0,-8476851.1094,5317002.1882,-76.1488491277954,43.0330397598978
"34","M",75,"A","R","400 BROOKFORD RD","400 Brookford Pl","Page0007.tif","S:\WORKSHEETS\01-31-2011_thru_02-06-2011","S:\WORKSHEETS\01-31-2011_thru_02-06-2011\Page0007.tif","Page0007.tif",2011-01-31,"400 Brookford Pl","S:\WORKSHEETS\01-31-2011_thru_02-06-2011\Page0008.tif","Main Break/Leak","\\water-server3\waterdept\WORKSHEETS\01-31-2011_thru_02-06-2011\Page0007.tif","036","2011",0,-8471505.4654,5317637.5626,-76.1008283907088,43.0372116948827
"35","M",100,"A","L","425 RICH ST","425 Rich St","Page0009.tif","S:\WORKSHEETS\01-31-2011_thru_02-06-2011","S:\WORKSHEETS\01-31-2011_thru_02-06-2011\Page0009.tif","Page0009.tif",2011-01-31,"425 Rich St","S:\WORKSHEETS\01-31-2011_thru_02-06-2011\Page0012.tif","Main Break/Leak","\\water-server3\waterdept\WORKSHEETS\01-31-2011_thru_02-06-2011\Page0009.tif","031","2011",0,-8478213.3783,5316734.4168,-76.1610865975349,43.0312814598342
"36","M",100,"A","L","425 RICH ST","425 Rich St","Page0011.tif","S:\WORKSHEETS\01-31-2011_thru_02-06-2011","S:\WORKSHEETS\01-31-2011_thru_02-06-2011\Page0011.tif","Page0011.tif",2011-01-31,"425 Rich St",NA,"Main Break/Leak","\\water-server3\waterdept\WORKSHEETS\01-31-2011_thru_02-06-2011\Page0011.tif",NA,"2011",0,-8478213.3783,5316734.4168,-76.1610865975349,43.0312814598342
"37","T",56,"A","R","104 ACADEMY GRN","104 Academy Gr","Page0013.tif","S:\WORKSHEETS\01-31-2011_thru_02-06-2011","S:\WORKSHEETS\01-31-2011_thru_02-06-2011\Page0013.tif","Page0013.tif",2011-01-31,"104 Academy Gr","S:\WORKSHEETS\01-31-2011_thru_02-06-2011\Page0014.tif","Dig Curb Box","\\water-server3\waterdept\WORKSHEETS\01-31-2011_thru_02-06-2011\Page0013.tif",NA,NA,0,-8477033.6052,5312070.0356,-76.1504885154597,43.0006450825319
"38","M",100,"A",NA,"HUNTINGTON RD & BELLEVUE AVE","Huntington Rd & Bellevue Ave","Page0015.tif","S:\WORKSHEETS\01-31-2011_thru_02-06-2011","S:\WORKSHEETS\01-31-2011_thru_02-06-2011\Page0015.tif","Page0015.tif",2011-01-31,"Huntington Rd & Bellevue Ave","S:\WORKSHEETS\01-31-2011_thru_02-06-2011\Page0016.tif","Valve Repair","\\water-server3\waterdept\WORKSHEETS\01-31-2011_thru_02-06-2011\Page0015.tif",NA,NA,0,-8482057.3851,5316326.5235,-76.1956178981419,43.0286029634054
"39","M",100,"A","R","312 ARNOLD AVE","312 Arnold Ave","Page0037.tif","S:\WORKSHEETS\01-31-2011_thru_02-06-2011","S:\WORKSHEETS\01-31-2011_thru_02-06-2011\Page0037.tif","Page0037.tif",2011-02-04,"312 Arnold Ave","S:\WORKSHEETS\01-31-2011_thru_02-06-2011\Page0038.tif","Main Break/Leak","\\water-server3\waterdept\WORKSHEETS\01-31-2011_thru_02-06-2011\Page0037.tif","038","2011",0,-8474266.9536,5314552.6007,-76.1256352612786,43.0169528567806
"40","M",100,"A","R","714 SUMMIT AVE","714-716 Summit Ave","Page0039.tif","S:\WORKSHEETS\01-31-2011_thru_02-06-2011","S:\WORKSHEETS\01-31-2011_thru_02-06-2011\Page0039.tif","Page0039.tif",2011-02-04,"714-716 Summit Ave","Shut Off Curb Box\714-716 Summit Ave","Shut Off Service","\\water-server3\waterdept\WORKSHEETS\01-31-2011_thru_02-06-2011\Page0039.tif",NA,NA,0,-8478715.0975,5315109.4683,-76.1655936177919,43.020610281574
"41","M",100,"A","R","718 SUMMIT AVE","718 Summit Ave","Page0043.tif","S:\WORKSHEETS\01-31-2011_thru_02-06-2011","S:\WORKSHEETS\01-31-2011_thru_02-06-2011\Page0043.tif","Page0043.tif",2011-02-06,"718 Summit Ave","S:\WORKSHEETS\01-31-2011_thru_02-06-2011\Page0044.tif","Main Break/Leak","\\water-server3\waterdept\WORKSHEETS\01-31-2011_thru_02-06-2011\Page0043.tif","039","2011",0,-8478714.8418,5315104.3493,-76.1655913207997,43.0205766617243
"42","M",100,"A",NA,"HUNTER AVE & SPENCER ST","Hunter Ave & Spencer St.","Page0019.tif","S:\WORKSHEETS\01-31-2011_thru_02-06-2011","S:\WORKSHEETS\01-31-2011_thru_02-06-2011\Page0019.tif","Page0019.tif",2009-02-01,"Hunter Ave & Spencer St.","S:\WORKSHEETS\01-31-2011_thru_02-06-2011\Page0020.tif","Valve Repair","\\water-server3\waterdept\WORKSHEETS\01-31-2011_thru_02-06-2011\Page0019.tif",NA,NA,0,-8479117.0536,5320655.6656,-76.1692044508736,43.057025002418
"43","M",100,"A","R","530 STOLP AVE","530 Stolp Ave.","Page0021.tif","S:\WORKSHEETS\01-31-2011_thru_02-06-2011","S:\WORKSHEETS\01-31-2011_thru_02-06-2011\Page0021.tif","Page0021.tif",2011-02-01,"530 Stolp Ave.",NA,"Repair/Hook Up Service","\\water-server3\waterdept\WORKSHEETS\01-31-2011_thru_02-06-2011\Page0021.tif","002","2011",0,-8479491.4439,5316573.907,-76.1725676561608,43.0302274605734
"44","M",100,"A",NA,"S MCBRIDE ST & MONROE ST","South McBride St. & Monroe St.","Page0025.tif","S:\WORKSHEETS\01-31-2011_thru_02-06-2011","S:\WORKSHEETS\01-31-2011_thru_02-06-2011\Page0025.tif","Page0025.tif",2011-02-03,"South McBride St. & Monroe St.","S:\WORKSHEETS\01-31-2011_thru_02-06-2011\Page0026.tif","Main Break/Leak","\\water-server3\waterdept\WORKSHEETS\01-31-2011_thru_02-06-2011\Page0025.tif","037","2011",0,-8476311.1283,5318308.4467,-76.1439983950428,43.0416164824396
"45","M",100,"A","R","1820 GRANT BLVD","1820 Grant Blvd.","Page0027.tif","S:\WORKSHEETS\01-31-2011_thru_02-06-2011","S:\WORKSHEETS\01-31-2011_thru_02-06-2011\Page0027.tif","Page0027.tif",2011-02-02,"1820 Grant Blvd.","S:\WORKSHEETS\01-31-2011_thru_02-06-2011\Page0028.tif","Curb Stop Repair/Replace","\\water-server3\waterdept\WORKSHEETS\01-31-2011_thru_02-06-2011\Page0027.tif",NA,NA,0,-8475931.129,5322978.8462,-76.1405848032513,43.072271909269
"46","M",100,"A",NA,"HUNTER AVE & SPENCER ST","Hunter Ave & Spencer St.","Page0029.tif","S:\WORKSHEETS\01-31-2011_thru_02-06-2011","S:\WORKSHEETS\01-31-2011_thru_02-06-2011\Page0029.tif","Page0029.tif",2009-02-02,"Hunter Ave & Spencer St.","S:\WORKSHEETS\01-31-2011_thru_02-06-2011\Page0030.tif","Valve Repair","\\water-server3\waterdept\WORKSHEETS\01-31-2011_thru_02-06-2011\Page0029.tif",NA,NA,0,-8479117.0536,5320655.6656,-76.1692044508736,43.057025002418
"47","M",100,"A","L","309 S WILBUR AVE","309 South Wilbur Ave.","Page0033.tif","S:\WORKSHEETS\01-31-2011_thru_02-06-2011","S:\WORKSHEETS\01-31-2011_thru_02-06-2011\Page0033.tif","Page0033.tif",2011-01-26,"309 South Wilbur Ave.","S:\WORKSHEETS\01-31-2011_thru_02-06-2011\Page0034.tif","Repair/Hook Up Service","\\water-server3\waterdept\WORKSHEETS\01-31-2011_thru_02-06-2011\Page0033.tif","029","2011",0,-8480173.7632,5319177.302,-76.1786970347192,43.0473206088752
"48","M",52,"M","L","819 HIAWATHA BLVD E","819 EAST HIAWATHA BLVD.","Page0003.tif","S:\WORKSHEETS\02-07-2011_thru_02-14-2011","S:\WORKSHEETS\02-07-2011_thru_02-14-2011\Page0003.tif","Page0003.tif",2011-02-07,"819 East Hiawatha Blvd.","S:\WORKSHEETS\02-07-2011_thru_02-14-2011\Page0004.tif","Main Break/Leak","\\water-server3\waterdept\WORKSHEETS\02-07-2011_thru_02-14-2011\Page0003.tif","040","2011",0,-8478126.6947,5324046.8794,-76.1603079055073,43.0792800801658
"49","M",100,"A","L","525 LEMOYNE AVE","525 LeMoyne Ave","Page0005.tif","S:\WORKSHEETS\02-07-2011_thru_02-14-2011","S:\WORKSHEETS\02-07-2011_thru_02-14-2011\Page0005.tif","Page0005.tif",2011-02-07,"525 LeMoyne Ave","S:\WORKSHEETS\02-07-2011_thru_02-14-2011\Page0006.tif","Dig Curb Box","\\water-server3\waterdept\WORKSHEETS\02-07-2011_thru_02-14-2011\Page0005.tif",NA,NA,0,-8478292.7935,5322916.8775,-76.1617999964144,43.0718652613164
"50","M",100,"A","L","305 MAPLEWOOD AVE","305 Maplewood Ave","Page0009.tif","S:\WORKSHEETS\02-07-2011_thru_02-14-2011","S:\WORKSHEETS\02-07-2011_thru_02-14-2011\Page0009.tif","Page0009.tif",2011-02-08,"305 Maplewood Ave","S:\WORKSHEETS\02-07-2011_thru_02-14-2011\Page0010.tif","Main Break/Leak","\\water-server3\waterdept\WORKSHEETS\02-07-2011_thru_02-14-2011\Page0009.tif","041","2011",0,-8475487.941,5310293.8438,-76.1366035777099,42.9889747617576
"51","M",52,"A","R","2410 ERIE BLVD E","2410 East Erie Blvd","Page0013.tif","S:\WORKSHEETS\02-07-2011_thru_02-14-2011","S:\WORKSHEETS\02-07-2011_thru_02-14-2011\Page0013.tif","Page0013.tif",2011-02-09,"2410 East Erie Blvd","S:\WORKSHEETS\02-07-2011_thru_02-14-2011\Page0014.tif","Main Break/Leak","\\water-server3\waterdept\WORKSHEETS\02-07-2011_thru_02-14-2011\Page0013.tif","042","2011",0,-8471993.4949,5320093.7675,-76.1052124342983,43.0533367265069
"52","M",100,"A",NA,"ARNOLD AVE & HOLMES ST","Arnold Ave & Holmes St.","Page0015.tif","S:\WORKSHEETS\02-07-2011_thru_02-14-2011","S:\WORKSHEETS\02-07-2011_thru_02-14-2011\Page0015.tif","Page0015.tif",2011-02-09,"Arnold Ave & Holmes St.","S:\WORKSHEETS\02-07-2011_thru_02-14-2011\Page0016.tif","Valve Repair","\\water-server3\waterdept\WORKSHEETS\02-07-2011_thru_02-14-2011\Page0015.tif",NA,NA,0,-8474260.9995,5314588.2774,-76.1255817746882,43.0171871826497
